player,pos,ecr
Tank Dell,WR,311.41
Luke Lachey,TE,312.25
Emanuel Wilson,RB,312.56
Antwane Wells Jr.,WR,312.62
Troy Franklin,WR,313.3
Gus Edwards,RB,313.31
Tennessee Titans,DST,313.5
Raheim Sanders,RB,313.78
Javon Baker,WR,314.2
Shedeur Sanders,QB,314.42
Demarcus Robinson,WR,314.94
Chris Brooks,RB,315.76
DJ Chark Jr.,WR,317.5
Jaydn Ott,RB,319
Chris Rodriguez Jr.,RB,319.61
Mack Hollins,WR,320.69
Treylon Burks,WR,321.67
Ameer Abdullah,RB,322.23
Zamir White,RB,322.61
Jalen Milroe,QB,323.09
Chimere Dike,WR,323.21
Deuce Vaughn,RB,323.33
Robert Woods,WR,323.4
Will Howard,QB,323.8
Cordarrelle Patterson,RB,325
Donovan Edwards,RB,325.19
AJ Barner,TE,325.44
Aidan O'Connell,QB,326
C.J. Ham,RB,326
Tyler Johnson,WR,326.25
Theo Wease Jr.,WR,326.31
Michael Mayer,TE,327.48
Alec Ingold,RB,327.6
Kalif Raymond,WR,327.8
Austin Hooper,TE,328.08
Curtis Samuel,WR,328.67
LeQuint Allen Jr.,RB,328.84
K.J. Osborn,WR,331.5
Kirk Cousins,QB,331.63
Dawson Knox,TE,331.95
Jahan Dotson,WR,332.26
Dillon Gabriel,QB,332.47
Trey Sermon,RB,332.57
Arian Smith,WR,334
Ja'Quinden Jackson,RB,334.5
Emari Demercado,RB,335.13
Jaylin Lane,WR,335.3
Luke Musgrave,TE,335.34
Spencer Rattler,QB,335.94
D'Ernest Johnson,RB,336.43
Kenny Pickett,QB,337.04
Van Jefferson,WR,337.88
Jameis Winston,QB,338.93
Gunnar Helm,TE,340
Efton Chism III,WR,340
Ezekiel Elliott,RB,340
Tyrod Taylor,QB,341.13
Craig Reynolds,RB,342.09
Dare Ogunbowale,RB,343.67
Ja'Lynn Polk,WR,343.82
Chris Tyree,RB,344.83
Sam Howell,QB,346
Foster Moreau,TE,346.58
Kalel Mullings,RB,346.63
Olamide Zaccheaus,WR,347.14
Tyler Badie,RB,347.25
Malik Willis,QB,347.5
Michael Burton,RB,347.67
Josh Whyle,TE,348.6
Luke Schoonmaker,TE,349.58
Greg Dulcich,TE,350.57
Derius Davis,WR,350.8
Jake Bobo,WR,352
Zach Wilson,QB,352.2
David Bell,WR,352.33
Daniel Bellinger,TE,352.33
KeAndre Lambert-Smith,WR,352.36
DeeJay Dallas,RB,352.5
Rondale Moore,WR,352.67
Marcus Mariota,QB,353.2
Mecole Hardman Jr.,WR,353.5
Tommy Tremble,TE,353.59
Jacob Cowing,WR,354.05
Kendrick Bourne,WR,354.47
Colby Parkinson,TE,354.67
Clyde Edwards-Helaire,RB,354.71
Carson Steele,RB,354.75
Julius Chestnut,RB,354.8
Joe Milton III,QB,355
Jimmy Horn Jr.,WR,355
Mitchell Evans,TE,355.5
Jimmy Garoppolo,QB,355.5
Jalin Hyatt,WR,355.94
Jordan Watkins,WR,356.4
Marcus Yarns,RB,356.4
Pierre Strong Jr.,RB,356.86
Mason Rudolph,QB,358.33
Nick Nash,WR,359
Jeremy McNichols,RB,360
Malachi Corley,WR,360.36
Jonathan Mingo,WR,360.42
Darnell Washington,TE,360.57
David Moore,WR,361
Cade Stover,TE,361.35
Kylen Granson,TE,362
Cedrick Wilson Jr.,WR,362
Rasheen Ali,RB,362.5
Dylan Laube,RB,362.5
Josh Oliver,TE,362.81
JuJu Smith-Schuster,WR,363.29
KhaDarel Hodge,WR,363.63
Zay Jones,WR,364
Grant Calcaterra,TE,364.33
Michael Carter,RB,366
Devontez Walker,WR,366.75
John Bates,TE,367.33
Cooper Rush,QB,368.5
Jeremy Ruckert,TE,368.67
Julian Hill,TE,368.8
Brevin Jordan,TE,368.8
Tyler Goodson,RB,369.17
Stone Smartt,TE,370.67
Hassan Haskins,RB,372.5
Kyle Trask,QB,372.5
Jake Browning,QB,372.67
Elijah Higgins,TE,373.58
Taylor Heinicke,QB,373.67
Patrick Taylor Jr.,RB,374.5
Ronnie Rivers,RB,375.5
Johnny Mundt,TE,376
Tanner Hudson,TE,376.4
Harrison Bryant,TE,377.8
Sione Vaki,RB,379
Mac Jones,QB,379.2
Luke Farrell,TE,380
Drew Sample,TE,380.33
Eric Gray,RB,383
Adam Trautman,TE,391
