name,pos,team,adp,points,ceiling,floor,ecr_sd,ecr_best,ecr_worst,bye,yahoo_id
Greg Dortch,WR,DET,350.7,13.7,39.8,9.9,41.36,293,414,6,NA
Elijah Moore,WR,PHI,351.0,13.4,32.7,10.4,41.3,300,396,10,NA
Robert Henry Jr.,RB,WAS,351.0,0.0,27.3,0.0,53.86,276,400,7,NA
Theo Wease Jr.,WR,MIA,351.5,13.0,42.5,8.9,69.5,282,421,6,NA
Joe Flacco,QB,CIN,351.6,41.6,92.1,29.9,17.56,326,378,6,NA
Jam Miller,RB,NE,351.7,0.0,8.3,0.0,21.38,311,379,11,NA
Jameis Winston,QB,NYG,352.0,37.0,97.8,25.8,22.63,324,398,8,NA
Luke Musgrave,TE,GB,353.7,24.0,52.3,10.7,20.1,307,383,11,NA
Durham Smythe,TE,BAL,354.0,23.1,27.2,20.7,5,349,359,13,NA
Will Dissly,TE,FA,354.7,22.3,58.4,10.3,62.17,276,428,NA,NA
Tommy Tremble,TE,CAR,354.9,21.5,32.9,10.3,18.84,336,405,5,NA
Roman Wilson,WR,PIT,355.5,12.7,15.2,11.4,14.5,341,370,9,NA
New York Jets,DST,NYJ,356.0,104.5,104.5,104.5,55.72,276,433,13,NA
Sam Roush,TE,CHI,356.5,20.7,28.3,16.1,6.22,347,363,10,NA
Cam Akers,RB,FA,357.0,0.0,27.3,0.0,82,275,439,NA,NA
Jordan Whittington,WR,LAR,359.1,12.4,34.8,8.9,43.19,297,444,11,NA
Nate Boerkircher,TE,JAC,359.5,19.8,21.5,16.1,3.5,356,363,7,NA
Demarcus Robinson,WR,SF,359.8,12.1,20.0,9.4,36.83,323,416,8,NA
Deion Burks,WR,IND,360.2,11.4,30.9,8.9,40.74,305,456,13,NA
CJ Daniels,WR,LAR,360.2,11.8,32.7,8.9,43.47,299,420,11,NA
Josh Oliver,TE,MIN,360.2,18.9,29.3,10.7,13.11,346,382,6,NA
Michael Trigg,TE,DAL,360.2,18.0,52.3,10.3,47.87,300,434,14,NA
Cade Klubnik,QB,NYJ,360.3,33.0,81.2,25.8,26.89,337,398,13,NA
Marlin Klein,TE,HOU,360.4,17.3,30.4,10.3,18.38,344,395,8,NA
Jared Wiley,TE,KC,361.0,16.7,20.7,13.8,3,358,364,5,NA
Brock Wright,TE,DET,362.5,16.1,21.5,12.4,6.5,356,369,6,NA
Elijah Higgins,TE,ARI,363.1,15.4,32.9,10.3,26.52,339,429,14,NA
Myles Montgomery,RB,NE,363.2,0.0,20.7,0.0,41.38,288,407,11,NA
Cade Stover,TE,HOU,363.3,14.5,32.9,10.3,22.88,336,392,8,NA
Mitchell Evans,TE,CAR,363.5,13.8,30.4,10.3,16.77,343,389,5,NA
Luke Schoonmaker,TE,DAL,364.3,12.9,30.4,10.7,15.52,345,383,14,NA
Mo Alie-Cox,TE,IND,364.8,12.4,24.9,11.6,9.28,351,377,13,NA
Quinn Ewers,QB,MIA,365.0,29.9,52.3,29.9,16,349,381,6,NA
Damien Martinez,RB,GB,368.5,0.0,3.8,0.0,34.69,318,413,11,NA
Daniel Bellinger,TE,TEN,370.4,11.9,31.2,10.3,19.74,340,398,9,NA
Tyler Conklin,TE,DET,371.0,11.6,12.4,11.6,6,365,377,6,NA
Jimmy Horn Jr.,WR,CAR,376.5,10.9,11.4,10.9,5.5,371,382,5,NA
Moliki Matavao,TE,NO,377.5,11.2,20.7,10.3,20.5,357,398,8,NA
Adam Trautman,TE,DEN,379.0,10.7,24.9,10.3,23.97,352,417,10,NA
Trey Lance,QB,LAC,381.5,28.0,29.9,25.8,4.5,377,386,7,NA
Jason Sanders,K,NYJ,383.0,113.5,113.5,113.5,17.45,366,407,13,NA
Thomas Fidone II,TE,NYG,383.3,10.3,24.9,10.3,41.52,352,442,8,NA
Kenny Pickett,QB,CAR,383.5,25.8,52.3,25.8,35.5,348,419,5,NA
Jermaine Burton,WR,FA,388.5,10.4,25.0,8.9,70.5,318,459,NA,NA
Marquez Valdes-Scantling,WR,DAL,411.5,9.9,10.4,8.9,20.5,391,432,14,NA
Jacob Cowing,WR,SF,415.5,9.4,10.9,8.9,35.5,380,451,8,NA
Tai Felton,WR,MIN,417.0,8.9,11.4,8.9,41,376,458,6,NA
